Sample_ID	Original_Cluster	Rank
HVUM0478	Cluster 20	4
HVUM0564	Cluster 20	4
HVUM0685	Cluster 20	4
HVUM0731	Cluster 20	4
LCAC0044	Cluster 20	4
LCAC0081	Cluster 20	4
LCAC0094	Cluster 20	4
LCAC0160	Cluster 20	4
LCAC0189	Cluster 20	4
LCAC0220	Cluster 20	4
LCAC0281	Cluster 20	4
LCAC0295	Cluster 20	4
LCAC0346	Cluster 20	4
LCAC0451	Cluster 20	4
LCAC0645	Cluster 20	4
LCAC0690	Cluster 20	4
LCAC0732	Cluster 20	4
LCAC0802	Cluster 20	4
LCAC0845	Cluster 20	4
LCAC0880	Cluster 20	4
NAG10169	Cluster 20	4
NAG10367	Cluster 20	4
NAG10572	Cluster 20	4
NAG11131	Cluster 20	4
NAG11534	Cluster 20	4
NAG11955	Cluster 20	4
NAG12317	Cluster 20	4
NAG12330	Cluster 20	4
NAG12340	Cluster 20	4
NAG13231	Cluster 20	4
NAG13373	Cluster 20	4
NAG13390	Cluster 20	4
NAG13662	Cluster 20	4
NAG14055	Cluster 20	4
NAG14320	Cluster 20	4
NAG14489	Cluster 20	4
NAG14703	Cluster 20	4
NAG15396	Cluster 20	4
NAG15906	Cluster 20	4
NAG16398	Cluster 20	4
NAG16542	Cluster 20	4
NAG16643	Cluster 20	4
NAG17995	Cluster 20	4
NAG19291	Cluster 20	4
NAG19461	Cluster 20	4
NAG19744	Cluster 20	4
NAG19834	Cluster 20	4
PHOK0015	Cluster 20	4
PHOK0024	Cluster 20	4
PHOK0146	Cluster 20	4
PHOK0184	Cluster 20	4
PHOK0389	Cluster 20	4
PHOM0003	Cluster 20	4
PHOM0009	Cluster 20	4
PHOM0010	Cluster 20	4
PHOM0027	Cluster 20	4
PHOM0063	Cluster 20	4
PHOM0089	Cluster 20	4
PHOM0115	Cluster 20	4
PHOM0119	Cluster 20	4
PHOM0127	Cluster 20	4
PHOM0131	Cluster 20	4
PHOM0132	Cluster 20	4
PHOM0135	Cluster 20	4
PHOM0140	Cluster 20	4
PHOM0154	Cluster 20	4
PHOM0156	Cluster 20	4
PHOM0157	Cluster 20	4
PHOM0161	Cluster 20	4
PHOM0166	Cluster 20	4
PHOM0176	Cluster 20	4
PHOM0187	Cluster 20	4
PHOM0198	Cluster 20	4
PHOM0202	Cluster 20	4
PHOM0205	Cluster 20	4
PHOM0241	Cluster 20	4
PHOM0259	Cluster 20	4
PHOM0272	Cluster 20	4
PHOM0317	Cluster 20	4
PHOM0341	Cluster 20	4
PHOM0361	Cluster 20	4
PHOM0366	Cluster 20	4
PHOM0376	Cluster 20	4
PHOM0399	Cluster 20	4
PHOM0401	Cluster 20	4
PHOM0410	Cluster 20	4
PHOM0452	Cluster 20	4
PHOM0467	Cluster 20	4
PHOM0483	Cluster 20	4
PHOM0487	Cluster 20	4
PHOM0542	Cluster 20	4
PHOM0581	Cluster 20	4
PHOM0597	Cluster 20	4
PHOM0652	Cluster 20	4
0000064302	Cluster 0	5
0000065918	Cluster 0	5
0999933459	Cluster 0	5
1000064986	Cluster 0	5
1999935315	Cluster 0	5
1999936453	Cluster 0	5
1999936659	Cluster 0	5
4000063946	Cluster 0	5
4000064320	Cluster 0	5
4000066002	Cluster 0	5
5999935671	Cluster 0	5
