Sample_ID	Original_Cluster	Rank
NAG15504	Cluster 16	2
NAG15584	Cluster 16	2
NAG15611	Cluster 16	2
NAG15646	Cluster 16	2
NAG15737	Cluster 16	2
NAG15818	Cluster 16	2
NAG15828	Cluster 16	2
NAG15850	Cluster 16	2
NAG15887	Cluster 16	2
NAG15893	Cluster 16	2
NAG15982	Cluster 16	2
NAG15991	Cluster 16	2
NAG15994	Cluster 16	2
NAG16000	Cluster 16	2
NAG16053	Cluster 16	2
NAG16154	Cluster 16	2
NAG16181	Cluster 16	2
NAG16286	Cluster 16	2
NAG16337	Cluster 16	2
NAG16367	Cluster 16	2
NAG16498	Cluster 16	2
NAG16644	Cluster 16	2
NAG16754	Cluster 16	2
NAG16860	Cluster 16	2
NAG16897	Cluster 16	2
NAG16908	Cluster 16	2
NAG17012	Cluster 16	2
NAG17177	Cluster 16	2
NAG17186	Cluster 16	2
NAG17351	Cluster 16	2
NAG17380	Cluster 16	2
NAG17403	Cluster 16	2
NAG17443	Cluster 16	2
NAG17530	Cluster 16	2
NAG17567	Cluster 16	2
NAG17570	Cluster 16	2
NAG17592	Cluster 16	2
NAG17623	Cluster 16	2
NAG17695	Cluster 16	2
NAG17918	Cluster 16	2
NAG18026	Cluster 16	2
NAG18144	Cluster 16	2
NAG18167	Cluster 16	2
NAG18200	Cluster 16	2
NAG18241	Cluster 16	2
NAG18271	Cluster 16	2
NAG18303	Cluster 16	2
NAG18398	Cluster 16	2
NAG18447	Cluster 16	2
NAG18536	Cluster 16	2
NAG18539	Cluster 16	2
NAG18554	Cluster 16	2
NAG18576	Cluster 16	2
NAG18577	Cluster 16	2
NAG18623	Cluster 16	2
NAG18883	Cluster 16	2
NAG18901	Cluster 16	2
NAG18916	Cluster 16	2
NAG19061	Cluster 16	2
NAG19067	Cluster 16	2
NAG19125	Cluster 16	2
NAG19135	Cluster 16	2
NAG19136	Cluster 16	2
NAG19159	Cluster 16	2
NAG19178	Cluster 16	2
NAG19242	Cluster 16	2
NAG19248	Cluster 16	2
NAG19256	Cluster 16	2
NAG19293	Cluster 16	2
NAG19307	Cluster 16	2
NAG19449	Cluster 16	2
NAG19489	Cluster 16	2
NAG19521	Cluster 16	2
NAG19530	Cluster 16	2
NAG19549	Cluster 16	2
NAG19553	Cluster 16	2
NAG19564	Cluster 16	2
NAG19568	Cluster 16	2
NAG19572	Cluster 16	2
NAG19729	Cluster 16	2
NAG19797	Cluster 16	2
NAG19800	Cluster 16	2
NAG19819	Cluster 16	2
NAG19922	Cluster 16	2
PHHK0001	Cluster 16	2
PHHK0003	Cluster 16	2
PHOK0001	Cluster 16	2
PHOK0016	Cluster 16	2
PHOK0039	Cluster 16	2
PHOK0041	Cluster 16	2
PHOK0059	Cluster 16	2
PHOK0137	Cluster 16	2
PHOK0167	Cluster 16	2
PHOK0330	Cluster 16	2
PHOK0355	Cluster 16	2
PHOK0357	Cluster 16	2
PHOK0359	Cluster 16	2
PHOK0394	Cluster 16	2
PHOM0001	Cluster 16	2
PHOM0012	Cluster 16	2
PHOM0035	Cluster 16	2
PHOM0042	Cluster 16	2
PHOM0045	Cluster 16	2
PHOM0051	Cluster 16	2
PHOM0062	Cluster 16	2
PHOM0077	Cluster 16	2
PHOM0080	Cluster 16	2
PHOM0082	Cluster 16	2
PHOM0085	Cluster 16	2
PHOM0092	Cluster 16	2
PHOM0100	Cluster 16	2
PHOM0105	Cluster 16	2
PHOM0111	Cluster 16	2
PHOM0112	Cluster 16	2
PHOM0136	Cluster 16	2
PHOM0142	Cluster 16	2
PHOM0145	Cluster 16	2
PHOM0165	Cluster 16	2
PHOM0167	Cluster 16	2
PHOM0172	Cluster 16	2
PHOM0175	Cluster 16	2
PHOM0183	Cluster 16	2
PHOM0201	Cluster 16	2
PHOM0210	Cluster 16	2
PHOM0214	Cluster 16	2
PHOM0219	Cluster 16	2
PHOM0234	Cluster 16	2
PHOM0255	Cluster 16	2
PHOM0267	Cluster 16	2
PHOM0269	Cluster 16	2
PHOM0270	Cluster 16	2
PHOM0271	Cluster 16	2
PHOM0285	Cluster 16	2
PHOM0294	Cluster 16	2
PHOM0309	Cluster 16	2
PHOM0339	Cluster 16	2
PHOM0363	Cluster 16	2
PHOM0389	Cluster 16	2
PHOM0390	Cluster 16	2
PHOM0392	Cluster 16	2
PHOM0397	Cluster 16	2
PHOM0414	Cluster 16	2
PHOM0417	Cluster 16	2
PHOM0418	Cluster 16	2
PHOM0422	Cluster 16	2
PHOM0432	Cluster 16	2
PHOM0433	Cluster 16	2
PHOM0440	Cluster 16	2
PHOM0448	Cluster 16	2
PHOM0450	Cluster 16	2
PHOM0457	Cluster 16	2
PHOM0458	Cluster 16	2
PHOM0464	Cluster 16	2
PHOM0474	Cluster 16	2
PHOM0480	Cluster 16	2
PHOM0491	Cluster 16	2
PHOM0502	Cluster 16	2
PHOM0509	Cluster 16	2
PHOM0511	Cluster 16	2
PHOM0514	Cluster 16	2
PHOM0523	Cluster 16	2
PHOM0529	Cluster 16	2
PHOM0533	Cluster 16	2
PHOM0545	Cluster 16	2
PHOM0549	Cluster 16	2
PHOM0554	Cluster 16	2
PHOM0555	Cluster 16	2
PHOM0560	Cluster 16	2
PHOM0573	Cluster 16	2
PHOM0574	Cluster 16	2
PHOM0579	Cluster 16	2
PHOM0584	Cluster 16	2
PHOM0590	Cluster 16	2
PHOM0616	Cluster 16	2
PHOM0617	Cluster 16	2
PHOM0628	Cluster 16	2
PHOM0639	Cluster 16	2
PHOM0650	Cluster 16	2
PHOM0655	Cluster 16	2
PHOS0001	Cluster 16	2
0000063630	Cluster 17	3
0000064936	Cluster 17	3
0999936095	Cluster 17	3
1000065530	Cluster 17	3
1000066092	Cluster 17	3
1999936719	Cluster 17	3
2999935499	Cluster 17	3
3000064154	Cluster 17	3
3999935035	Cluster 17	3
4000063956	Cluster 17	3
4000064330	Cluster 17	3
4000065308	Cluster 17	3
4000065328	Cluster 17	3
4000065962	Cluster 17	3
4000065972	Cluster 17	3
4000066834	Cluster 17	3
5000063476	Cluster 17	3
5000064564	Cluster 17	3
5000065170	Cluster 17	3
6000063758	Cluster 17	3
6000065812	Cluster 17	3
6000066322	Cluster 17	3
6999936979	Cluster 17	3
6999937365	Cluster 17	3
6999937465	Cluster 17	3
7000063132	Cluster 17	3
7999935503	Cluster 17	3
8000063792	Cluster 17	3
8000064084	Cluster 17	3
8999935729	Cluster 17	3
9000064066	Cluster 17	3
9000065132	Cluster 17	3
9999934833	Cluster 17	3
9999935333	Cluster 17	3
9999935363	Cluster 17	3
AYUM0008	Cluster 17	3
AYUM0034	Cluster 17	3
AYUM0047	Cluster 17	3
AYUM0058	Cluster 17	3
AYUM0063	Cluster 17	3
AYUM0076	Cluster 17	3
AYUM0084	Cluster 17	3
AYUM0323	Cluster 17	3
AYUM0437	Cluster 17	3
AYUM0643	Cluster 17	3
AYUM0655	Cluster 17	3
AYUM0672	Cluster 17	3
AYUM0726	Cluster 17	3
C_AC0086	Cluster 17	3
C_AC0179	Cluster 17	3
C_AC0188	Cluster 17	3
C_AC0255	Cluster 17	3
C_AC0470	Cluster 17	3
C_AC0479	Cluster 17	3
C_AC0531	Cluster 17	3
C_AC0550	Cluster 17	3
C_AC0560	Cluster 17	3
C_AC0666	Cluster 17	3
C_AC0754	Cluster 17	3
C_AC0814	Cluster 17	3
C_AC0879	Cluster 17	3
C_AC0915	Cluster 17	3
C_AC0954	Cluster 17	3
